title,budget,revenue,profit,log_budget,log_revenue,release_year,main_genre,runtime,vote_average,language_group,popularity
The Last Castle,72000000,27642707,-44357293,18.09217669086922,17.134872526015407,2001,Action,131.0,7.0,en,15.433244
Winter's Tale,60000000,30800231,-29199769,17.909855136853043,17.243032780382965,2014,Drama,118.0,6.0,en,22.736038
The Mortal Instruments: City of Bones,60000000,90565421,30565421,17.909855136853043,18.32158304253502,2013,Action,130.0,6.2,en,45.514031
Meet Dave,60000000,50650079,-9349921,17.909855136853043,17.74045136812465,2008,Comedy,90.0,5.0,en,18.676291
Dark Water,30000000,25473093,-4526907,17.216707972959764,17.053133315824564,2005,Drama,105.0,5.3,en,14.376463
Inkheart,60000000,57490374,-2509626,17.909855136853043,17.867128100451744,2008,Adventure,106.0,6.0,en,27.018886
The Spirit,60000000,39031337,-20968663,17.909855136853043,17.47987541989127,2008,Action,103.0,4.7,en,14.84856
Mortdecai,60000000,30418560,-29581440,17.909855136853043,17.230563539271536,2015,Comedy,106.0,5.4,en,52.417529
In the Name of the King: A Dungeon Siege Tale,60000000,0,-60000000,17.909855136853043,0.0,2007,Adventure,127.0,4.1,en,15.406173
Beyond Borders,35000000,0,-35000000,17.370858648025116,0.0,2003,Drama,127.0,6.7,en,6.523472
The Monkey King 2,68490000,193677158,125187158,18.04219832177476,19.08170320196109,2016,Action,120.0,6.0,zh,4.72629
Holy Man,60000000,0,-60000000,17.909855136853043,0.0,1998,Drama,114.0,4.9,en,9.265672
Goosebumps,58000000,158162788,100162788,17.87595358575207,18.879135370712635,2015,Adventure,103.0,6.2,en,45.351617
Just Like Heaven,58000000,102854431,44854431,17.87595358575207,18.448825265016193,2005,Comedy,95.0,6.5,en,13.43573
Rambo III,63000000,189015611,126015611,17.958645300228824,19.057340172787065,1988,Action,102.0,5.7,en,31.294717
Leatherheads,58000000,41299492,-16700508,17.87595358575207,17.536360781826854,2008,Comedy,114.0,5.7,en,7.739276
The Ridiculous 6,60000000,0,-60000000,17.909855136853043,0.0,2015,Comedy,119.0,4.9,en,19.694695
Did You Hear About the Morgans?,58000000,85280250,27280250,17.87595358575207,18.261453461623255,2009,Comedy,103.0,5.1,en,14.403696
The Internship,58000000,44000000,-14000000,17.87595358575207,17.599700214609808,2013,Comedy,119.0,6.1,en,1.551497
Red Tails,58000000,50365377,-7634623,17.87595358575207,17.73481455254271,2012,Drama,125.0,5.9,en,12.29603
The Devil's Advocate,57000000,152944660,95944660,17.858561843342684,18.84558672111963,1997,Drama,144.0,7.2,en,33.8473
That's My Boy,70000000,58058367,-11941633,18.064005814299346,17.876959407312786,2012,Comedy,116.0,5.5,en,21.723897
DragonHeart,57000000,115267375,58267375,17.858561843342684,18.562764996372575,1996,Fantasy,103.0,6.4,en,31.791979
After the Sunset,60000000,61347797,1347797,17.909855136853043,17.93206983605651,2004,Action,97.0,6.0,en,14.113066
